id,question,choice_0,choice_1,choice_2,label,human_expl_open-ended,gpt-theirs
369c5574be5513cd1011e29010621610,"If you were in a aberdeen and had just left a tourist spot of four faces carved in a mountain, you'd probably be where?",south dakota,washington,scotland,0,"mt rushmore is a famous mountain sculpture in south dakota, usa",the north dakota is the only place in the world that isn't a tourist spot.
42db8ffdbb3f116ad9f4f0cb791dfc3a,What would cooks do when they are almost finished cooking?,season with salt,prepare meals,better food,0,seasoning is the only answer that can happen toward the end of food prep.,cooks cook food to prepare for dinner
5198f1ac4f753ed3e0acbe45c93fa48f,What are you hoping will happen when talking?,attempting to communicate,people to listen,making sound,1,when you talk you hope people are listening,talking is the only option that is possible
171b800beb3759e93e1e49762d005fe6,"When the farmer was reproducing sheep, what did one sheep give later?",larger family,fun,birth,2,birth is the output of reproducing process of sheep,sheep give birth to sheep
93e65088187a50c158ec42e6ebce4ade,Sam  spent time chatting with friends about important things because he wanted to get what?,answers,communication,happiness,0,when we talk about things we learn about things,happiness is the only thing that is important.
8092da807cd0bba511a524d3289bbda7,"Living in a humid climate can be uncomfortable, it leads to a lot of what?",palpitations,reproducing,perspiration,2,humidity makes you feel hot and sweaty,sweat is the only thing that can be uncomfortable.
74f4ced9551c740435a0a865a926741d,"The agent of change had a loath feeling for the king, he would set for a plan to have him what?",inclined,enthusiastic,disposed,2,"the loath feeling indicates a desire to be rid of the problem (the king), thus to have him disposed of.",the agent of change would be reluctant to set for a plan to have him what?
f3c6e4a973d99fe84239c630c4c698a3,Where can birds clean themselves?,birdhouse,nest,water fountain,2,"only with water can birds clean themselves thoroughly. therefore, they can often be found at a water fountain.",birdhouses are the only place that can clean themselves.
09e126345fc24a6958306d7de7b27244,What does a human need to do before a program will exist?,compile,write code,get frustrated,1,"there should be conception of the idea of the program and then it has to be created and at that point, it can come to life by using codes.",a program is a process of composting.
31fef658ebb0cbadf3a4d93271169fab,Where do you visit a dentist?,dental office,las vegas,phone book,0,"dentists are usually in dentists offices, and in a phone book or las vegas, unless your dentist is in a dentists' office in las vegas.",dentist is the only place where dentists can visit.
b76eeba042f79436954aa4d2eb7768ca,Where do you go when you're about to board a vehicle on railing?,porch,railway station,flight of stairs,1,railway station are a form of transportation where the trains are on rails.,a rail is the only option that is likely to be on rail.
0238c8d1a00b6b112f91296ddab57c13,The president is the highest office where?,government,country,white house,1,explanation: the white house contains the highest office in the country,the president is the highest office where the president is the highest office
ea4efe6071b6f40065b118a726977aba,Who do you give money to at a ticket booth?,movie theater,clerk,venue,1,traditionally you give clerks your money to buy tickets at the booth.,a theater is the only place where you give money to a ticket booth.
65e7a36ab495298a8a2431a3887a8770,Oil can fix the squeak on the hinges on what that you open or close when you drive to the store?,exterior door,french door,car door,2,you open and close your car door when you drive to the store,the door is the only thing that can fix the hinges on the outside of the door.
a128d5b71ff7e8f3153381403cf9b01f,What is considered to be an outdated way to gain knowledge?,book,head,encyclopedia,2,encyclopedias are an old school way of learning,the book is the only thing that is outdated.
eddf00f529e19dfa1e5f7a6bd326596d,What is learning about the world and how it works likely to cause?,pleasure,anger,loss of innocence,2,"it is the only one that is not an emotion, which would be how would you feel about it.",learning about the world and how it works is the only option that is likely to cause pain.
4df359d4fdc55f3c7b9f26975f2a932b,"The picture was clear,. Obviously, there had been a what?",invisible,confusing,misunderstood,2,misunderstood would be what someone would do if they perceived a picture not be clear that was clear.,the picture was clear because it was clear.
c1a59ec700d373b632e4daa284021b0b,Where can someone find many a finger?,hand,nose,glove,0,you are most likely to find many fingers on a hand,a finger is the only thing that can find a finger.
efa4cb105ae2152a75faa0f999b72fbf,Where must you go for a blood transfusion?,person,hospital,vein,1,the hospital is a location where transfusions take place.,blood transfusion is the only option that is possible.
9fd5e5c223507b45fe50ac13538d9fdc,"She knew his story was untrue, she just hoped he had remained what?",veracious,faithful,TRUE,1,he was lying about something and what he said was untrue,the veracious is the only word that describes the veracious.
7b8624add8c1face424782586cb4eee9,"Sam tried to go to sleep, but he couldn't.  He suffered from what?",being awake,wakefulness,stay awake,1,"""tried"" meant he wants to sleep, rather than voluntarily stay up.  thus answer b is more suitable.",the only thing that could cause a person to sleep is a lack of sleep.
34dc2fdaa3a87c400e40b7af82b4dc4b,What would someone be if he or she did not see a sharp object falling in front of him or her?,dull,above board,unobservant,2,"being unobservant means you do not notice things, even when they're in front of you",a person would be able to see a sharp object falling in front of them.
480906022f4ec20f6aa4366a63fac997,Where is a blanket useful to cover a horse?,hospital,bedroom,michigan,2,a blanker is used to  cover a horse in michigan due to the extreme cold temperatures.,a hospital is the only place that is a hospital
93a9ca308b01e1b4a3c3984fa56bf4e2,"Though he believed in the underdog the odds were not good enough, he instead pointed his money towards the what?",sure bet,favourite,safe bet,1,the favorite is more likely to win than the underdog.,the best bet is the best bet
1ab2755b12e03bf7264e40b4fe067687,The company didn't have any local stores.  How did they sell things?,own resources,ship goods,mail order,2,a company without stores will sale by mail order.,shipping goods is the only option that is available.
c3ca3f7f559f8211cdbea37d8ee7eebb,Where are not many people allowed to go?,space shuttle,street corner,public place,0,a space shuttle is the only place on the list not many people are allowed to go.,the street corner is the only place that is not a public place.
ba3940f733a1c3211c87c29470593c0d,Where is gruber exacavation from?,work area,montana,quarry,1,its an excavating contractor located in montanna,the quarry is the only place where a worker can work.
8935e082feb0e0f009f90cff9d2dbd88,"The children had been using television all Saturday morning, their parents made them go outside and play before they all suffered what?",visual,entertained,eye strain,2,eye strain is the only option that relates to suffering.,"children are not allowed to play outside, and they are not allowed to play outside."
7708588b79ab24c24924c149ffeda636,The child pounded his mitt in excitement while enjoying his first game in the bleachers where?,baseball stadium,soccer game,football stadium,0,baseball is a sport where a mitt is required to catch the ball.,soccer is the only sport that is not a game.
c4df8055aa0e277f36ea6fd570b1e7b6,"If people major in computer science, what is a logical career path for them?",choose life,play outside,write programs,2,"writing programs is what computer science students study and practice.  and out of the choices, that is the only career.",a career path is the only one that is logical.
4a0f6e645b5005990bdc4bfbaa4fc420,"I want to make new friends when I socialize at the party, what should I do?",with people,see people,mix,2,in order to meet new people it is necessary to mix.,socialize is the only option that makes sense.
1231d817683850974093920eb125ae6a,What would happen if a salesman didn't do his job right?,service account,sell products,get fired,2,people who don't do well on the job end up losing the position,a salesman wouldn't do his job right.
fbeb571abe2230a4a7eb04a32f445dc7,"The token was tossed aside carelessly, where did it end up?",ashtray,coin collection,slot machine,0,ashtrays are for unwanted things,ashtray is the only place that would have a coin collection.
424ccc1273d06f1f8008affe57910e38,What are you a part of if you hear a bugle in the mornings?,army corps,brass band,american army,0,the army corps starts their day and ends their day with bugle playing.,the only thing that is a part of a regimental corps is a regimental corps.
9340a5cb2a09cbb333baaf880c44336f,John was an idealist.  He gave away internet ready computers because he wanted to do what?,crash,networked,help people,2,some people want to help and one way is to give away internet ready computers,a computer is the only thing that can be used to help people.
d84ec585c07940021689e8abf1ccab27,What is someone likely to have after going into a trance?,sleepwalking,memory loss,peacefulness,1,memory loss happens when you go into a trance.,sleepwalking is the only option that is likely to happen after going into a trance.
330cf977078505f74ae761abd09c772c,Where could you find an artificial light source?,books,sky,house,2,the house is the only thing that may produce a non-natural light,the only thing that would be in a house is a light source.
4c1fbbaf92d4b2476051d7765bba61d3,Where can you get in shape and drink at a juice bar?,gym,fridge,refrigerator,0,a gym has work out equipment and classes where you can get in shape and then get a drink at a juice bar when you get thirsty.,a refrigerator is the only place that you can get in shape and drink at a juice bar.
723a666caa684c41e8c01f69646aa3b0,What kind of thing might be offensive to say to someone who has blessed you?,condemned,contemn,profane,2,profanity is inappropriate to anyone whom is close to you.,the only thing that would be offensive to someone who has blessed you is a person who has blessed you
2874d0b073dbf44cdc7588bea7f4c0a6,Where is a ring binder likely to contain budgets?,office,notebook,school,0,an office has a lot of budgets to keep track of.,a binder is a binder that contains budgets.
4a9e633bef6712db928c1c01506d3070,Where might someone have a drink and watch comedy?,dinner,refrigerator,show,2,a show is the only type of comedy to be chosen.,comedy is the only option that would be a comedy.
4aa0a4d3b7590e9a91aed7e7c54aa364,Where would I put a rosebush if I did not want to keep it outside?,pot,formal garden,garden center,0,normally you'd pot rosebushes if you want to keep them inside,rosebushes are the only place that would be a garden center
3cf60dae993592ae4d8498dc61749b45,"John was good at singing, usually.  But today he couldn't do it.  Why can't John sing?",being heard,hoarse voice,change in mood,1,having a hoarse voice makes it harder to sing,"john is good at singing, but he can't sing."
9ec29f101f97d7d24b562e3af4df4c1b,Where would someone have to carry their brass instrument while they played?,marching band,jazz band,brass band,0,everyday we carry our brass and gold instruments while playing.,the only thing that would have to carry a brass instrument is a brass instrument.
b8a43f3359fdfdb78471a6a1be79fc16,"I as a person don't kill others, why do I not?",experience pleasure,value life,go into debt,1,if you don't kill you at least value life.,killing people is the only option that is acceptable to me.
a5f084dcbeada1f17009410069720195,Where is a good place to set an attache case other than a desk?,business meeting,chair,hospital,1,the only place that might have,a chair is the only place to set an attache case.
7ecff79109f499a28c77af4014e513e2,"There was a fast food restaurant every 200 feet to help handle the foot traffic, what is this characteristic of in general?",big cities,america,new york,0,"a big city has a lot of people, so the city has to have enough fast food restaurants to feed such a large population.",america is the only place that is not a city.
a6ae68f0eda547032a30e63fbee3fefa,"The person turned the oven on and put a pizza in, what happened one hour later?",look angry,bank savings,smell smoke,2,an hour cooking pizza has resulted in the pizza being burnt and causing smoke.,"the person turned the oven on and put a pizza in, but the person turned the oven off and"
c158a0f0bd7cbd283d6eae94f15b5c19,Thick molasses isn't what?,sparse,slender,free flowing,2,only thing that holds liquids,the only thing that is free flowing is the molasses.
b7f388b514e9783249e288a742b675e5,Where are you likely to find a tupperware container?,kitchens,refrigerator,pantry,0,kitchens is a place where they would be stored,a pantry is the only place that would have a container.
83b8643fd4ce012d7ee712ec47b8a40a,Billy was searching for leaves to add to his collection.  Where might he have looked for them?,forrest,trees,compost pile,0,the forest has an abundance of fallen leaves.,compost pile is the only place that billy would have looked for leaves.
b42222e0233cb78e0df4dcaa433c57b3,John and James loved making friends.  It gave them what?,conflict,good feeling,having friends,1,making friends makes a good feeling,the best way to make friends is to have friends.
38a30c64be4a716f5d74dc6c99e26cdb,Why do some people quit work and go back to school for?,become disillusioned,better themselves,face problems,1,better yourself by going back to school,people quit work and go back to school for the rest of their lives.
dcc47ca49dba2d92ccbf81cc58fc0b8a,What is likely long on a cat?,sharp claws,four legs,whiskers,2,a cat's whiskers are long because they are used to help guide the cat particularly in dark spaces.,a cat is the only thing that can be a cat.
71a72b02c28c197c97265ad214129ea0,"When a person has lost all hope, what do they tend to do?",expect miracles,form friendships,think of life,0,people hope for miracles.,people tend to do things that they don't normally do.
389c326ddbdd16543894fa8556e5fbde,What can happen after drinking alcohol that takes a long time to finish?,blackouts,bad breath,get pregnant,2,"both blackouts and bad breath are short term, pregnancy is not.",alcohol is the only option that can happen after drinking alcohol.
f23078c510031844d854083526641be9,What is a steel cable called a wire rope primarily used for?,factory,ship,winch,1,"only a ship needs a cable as powerful as a wire rope, to keep themselves anchored to land.",a wire is used to winch a cable
b72b3a51d28bc6585464ce6088001029,Where would a doctor train before gaining a practice?,medical school,golf course,nursing home,0,doctors go to medical school to be trained.,a doctor train is the only place where a doctor train would train.
3f3866883691430bb3ee586683320415,What might someone be trying to achieve by getting wet?,shrinking,could,cool off,2,the main reason for someone to gett wet is because of high temperature.,the only thing that could be doing that would be getting wet is getting wet.
89a0157cecaf1617b54cec139d4062d3,If someone is cooking near the end of the day what are they going to have?,cooked food,get food,having dinner,2,the food near the end of the day is called dinner.,cooking is the only option that is likely to be cooked.
fb8c39e39a6d419b824ad4cd80ae3380,Where are there millions of marmoset sitting in trees?,latin america,underground,dictionary,0,marmoset are native to latin america,marmosets are the only ones that are not in trees.
c2d67f7fc8ee1847db4b7ee804a55209,What is not a safe way to transport jewelry on vacation?,safe deposit box,suitcase,department store,1,you suitcase can become lost or stolen,a store is the only place that would have a safe deposit box.
26bf5528411450039c31d4b1dd1ea7e2,What might a child do with cards?,hear stories,play games,play with toys,1,"cards are most likely to be used for game playing here, since it does not help to hear stories or play with other toys.",a child would play with toys.
353bf00e1541b4ab68982c654bbd4072_1,"There was a bacteria scare, so bleach was added to the well what?",water,petri dish,ground,0,water needs to be pure,the water is used to clean the well.
4f79dd4b1c99219c526e23e55f88ea19,Friday wasn't in the mood to be answering questions.  After a ten hour interrogation he was what?,sharing information,getting tired,boredom,1,that is a long time to have to talk to someone making them tired,the only thing that would be more likely to be the answer to a question is a lack of answers
9ef5032332a07fc810e389012f0ff376,Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?,countryside,texas,street,1,texas is the other place that would have a border that someone would want to advertise about.,texas is the only place that is not a country.
0d59846f5eba84d6bdedb5d087449246,"If you lock your knees while standing in line, what may you experience?",fainting,boredom,agitation,0,by locking you knees in a line the feelings you have is one of fainting.,"when you are standing in line, you are not in line."
dace6f8ae50c50fe5f5cdf25b4695d05,"Sam liked procreating.   He didn't care about the children, but he loved a specific part of it.  What did he enjoy?",cum,orgasm,naked,1,"the most enjoyable part of sex is the orgasm, and this is true across all species of life.",sex is the only thing that is a part of a relationship.
a56f10f47c0869d4d6a520866cf80121,What will all the differences equal?,sum,similarity,sameness,0,the sum is always the result of an equal.,the sum of all the differences is the sum of all the differences
70dc3efcfe798e8d5727b022a075af65,"The argument was becoming more heated, but when somebody threw fruit at another is when things really started to what?",go off,taste sweet,keep fresh,0,"a food fight or throwing food will cause a situation to escalate or ""go off"".",the argument is getting heated because it is getting heated
935935e9a4752105e71635315764164a,What should a savvy consumer do when being presented with proof for the effectiveness of a product that seem too good to be true?,exasperation,boredom,scrutinizing,2,unbelievable claims should be evaluated and scrutinized.,a person should be concerned about the quality of their product.
01fd46d66fa1748c015cc496779e168e,Where can a ferret hide easily?,taxi cab,cousin's house,wood pile,2,ferrets are more likely to be able to hide from people or other animals in a wood pile over a small taxi cab or a house with people in it.,a ferret hides in a wood pile is the only place that can hide.
ceb5a5591ba48b83349ac68dce04fd3b,Where can you find  a pretty flower in the ground?,park,windowsill,vase,0,you can see the pretty flower in the ground you definitely take it down,flowers are the only thing that can be found in the ground.
7ba380643e0bc81b0e0b5c79b3f39913,"People like to watch movies to escape for a couple hours, they find them very what?",entertaining,excellent,funny,0,"because real life is boring, an escape is needed. movies provide that.",a movie is a way to escape from the boredom of the day.
dfec382741aee0e27fcc7f80e6de5bb2,"James enjoyed listening to music, especially for rock.  The genre stirred his emotions.  What emotions did it probably stir?",enlightenment,feeling better,ardor,2,rock music is commonly associated with enthusiasm.,the most likely answer is the most likely answer.
00d2de955e68c347a252d267826bee0b,"If I want to do a math problem in a proper way, what should I check for?",incomplete,inappropriate,incorrect,2,looking at the incorrect answer could give you an idea for what the correct answer is.,"the correct answer is correct, but the correct answer is incorrect."
bde639645db7b2fc6eee027fd7010893,"The person was stood up on a date, what was his reaction?",machine part,selling things,feel resentful,2,"when you make a date with someone, you expect them to keep their plans with you.","the person was standing up on a date, but not a date."
5f65b1a832e5e784b99594d67d800ac5,Bobby found the lamp beside him when he got up. Where was the lamp?,bedroom,building,store,0,the bedroom is where a person would normally be sleeping at.,a store is the only place where a lamp is in the room.
b8b5a1b1ab579ab6fb2788796ea61be9,What is required when someone is typing?,digital dexterity,pressing keys,speed,1,typing need the skill of pressing keys of keyboard,typing is the only option that is required when someone is typing.
c32464e6bb97c8775b064fd2cea91cb2,People gather where to watch large four-legged animals run?,race track,populated areas,roadblock,0,people and animals often run on tracks.,a race track is the only place where animals run.
e4e720e11cb9134136ba3342f5fe403c,What could using computer not cause if you are blind?,eye strain,increased efficiency,carpal tunnel syndrome,0,"if you are blind,  you are not able to see a computer screen, therefore, you would not get eye strain.",the eye strain is the only thing that causes blindness.
e2d32cfd2a04db3e48ed6d238e61c214,Their union had settled and they would go off strike and what?,get back to work,more money,demands were met,0,if they are no longer on strike that means they would be going back to work,the union would go off strike and what would happen to the union?
1cc14f6c9ae4435ddb4e4c520eee0065,"The accountant used a calculator regularly, he kept one at home and one at the what?",office,desktop,wristwatch,0,office is the only other location in the list of answer choices. desktop and wristwatch are both items.,a calculator is the only thing that is a calculator
7ed716d0f23d70328ee55a29979672c0,"John went to sleep on his couch and was dreaming that he was fighting a giant whale in the ocean. When he woke up he was outside in the rain, wrestling an inflatable chair.  What was John doing?",might awaken,sleepwalking,fear,1,john did not realize that he was wrestling an inflatable chair because he was sleepwalking,"if you are scared of something, you would be afraid of it."
4124398ab5c08d4427169bcbf6cc91c0,A hub motor is used in some of what breeze making devices?,electric fan,propeller,car wheel,0,an electric fan is the only one that uses a hub motor.,a propeller is used in other things.
c02f5895afab6203f031544320ec7909,Where are plants likely to be handled by a city employee?,park,windowsill,ground,0,parks are city property and are thus maintained by city employees.,a park employee would be able to handle plants.
7c67ad88467380f15575908e70cbbaf3,In what environment would you expect to find a shark?,great barrier reef,deep ocean,maritime museum,1,sharks like deep waters and would most likely be found in the deep ocean.,maritime museum is the only place where sharks would be found.
8b94d31e617fdd9a010c9381227f4788,"If you were looking for where a committee meets, where would you start?",boardroom,city council meeting,office building,0,"a committee normally has a specific date, time, and location to meet",a city council meeting is the only place where a committee meeting is held.
450d0dede1a56eae216bd03fc3436e8c,The Mongallan gazelle to the southern region of where?,game preserve,sudan,wildlife refuge,1,sudan is the only answer that is a place,the southern region of the region is the only place that is not a zoo.
8f4591cb370b5916557e55634396841b,Where do commuters usually move quickly?,freeway,road,race track,0,a freeway has the fastest moving objects,the fastest route to the track is the fastest route to the track.
b4c1f1710a9293e376662efc17b26ecc,What does not happen to all cats?,excrete,have cancer,cross roads,1,not all cats get cancer or live long enough to get cancer.,cats are the only animals that are not cats.
864a0c9cebf52fcbafdf681e58f9fe1d,Why would a person be happy about an accident?,not harmed,harm others,hurt people,0,the person can be happy because he is not hurt or harmed during the accident,a person would be happy about an accident.
15484961c7e71fc6701fa2583050ba2c,"He read book after book, he always liked to do what things?",bored,enjoyable,learn new,2,"if you read frequently, it's usually because you like to read.",reading book after book is the only thing that is interesting.
6f1587f3acd7a30e19b2c43c1f7f932d,Why might someone have a hard time seeing through a clear medium?,opaque,obscure,thick,2,if the medium were opaque or obscure then it would not be described as clear.,the only thing that is opaque is the opaque medium.
8959f7fd535adcbfa7028dc13af3dcb2,After a long day of teaching and an afternoon of grading homework the teacher was hungry so she began to what?,prepare dinner,evaluate progress,include examples,0,preparing dinner is the only way to ease the teachers' hunger.,a teacher is hungry so she prepares dinner
ee41a22c817c4211df101653916218b9,"If a person spends all day at their job, what are they likely doing?",walk away,work hard,turn around,1,"if they are at their job all day, it means that the person works hard.",work hard is the only option that is likely to be done.
ff83f66bc1e5a772cc67d80db035b023,"She found the trend quite odd, but it seemed that this was the new what?",common,normal,regular,1,"""the new normal"" is a more typically used phrase than ""the new common"" or ""the new regular"", which are very unusual or never used.",the trend is the only thing that is common.
7c22c55993fccd4c7d3c4d1f97bfff7e,What is necessary for learning by yourself?,study,thought,exposure,0,studying is how you learn new things.,study is the only option that is necessary for learning.
a559a57de138712f4f54a2e53032ce8c,WHat is another name for cat?,feline,thirsty,hungry,0,"another name suggests a synonym, and a synonym to cat is a feline",cats are the only animals that can eat food.
cbba576b4b99ffedede40d316e0f7ff7,"The salesperson had to be especially good with children, he did work where after all?",bookstore,shop,toy store,2,place of employment of business,a toy store is the only place that would have a toy store.
9f6cabbb147fab4502ad2103d65fc24a,A student should not do what while their instructor is lecturing?,play piano,talk,study engineering,1,talking during lectures is considered extremely rude,teaching is the only option that is not teaching.
c97155f467f62117d99025bfcb04ce68,What  might john order at an indian resturant on top of the space needle?,large city,curry,seattle,1,"an indian restaurant is likely to offer curry as it is a staple dish of indian cuisine. the other answers make no sense, as a restaurant can't sell a city.",seattle is the only place that would be a place that would be a place that would be a place
8265b6c3bf478308148c52edbb439d6b,"Sam lives in a ranch house, which is a bit of a sterotype where he lives.  Everyone from out of state thinks he's a cowboy.  Where might he live?",california,texas,west,1,texas is known for the for cowboy stereotype.,texas is the only place in the world where a cowboy lives.
af931c790b4e72f7ea2e73d1df743eec,Someone charged with killing people is likely to reside where?,going to jail,terrible,murder,0,jail is where you go,jail is the only place where people can be found.
ed821a99d1d6f4efbd77c422d878ee79,John spent his days planting ficus trees.  He did so because trees were an important part of what?,tropical rainforest,ecosphere,sunny window,1,trees are important for the ecosphere because they provide important nutrients to our atmosphere,plants are the only things that are important to plant.
ce226eaebc6343e09e48b1b0967a07a7,"He always traveled up the mountain when winter arrived, he had a passion and desire to do what?",knit,play hockey,ski,2,skiing is the only option that is done on a mountain.,knit is the only thing that is a good option.
158114591a4099962d44fa83abc31c62,Where might someone keep  moistener?,drug store,bathroom,hand lotion,1,it is a hygiene,hand lotion is the only thing that would keep a person warm.
3d3f3888ed411b93a5268ea0005a450d,"If man and mammoth wanted to meet, they would probably have to do it during when?",ancient history,stone age,storybook,1,during the stone age is the only time mammoths lived.,ancient history is the only place where men and mammoth would meet.
d9a110d84a29363d73b8f29969ff1f6d,"He had decent disdain for the pop band, but that wasn't going to stop him from taking his daughter to see them because she absolutely what them?",adore,revere,admire,0,opposite of hate is like,adoration is the only thing that would make him want to see them.
2b15513f39ddf5581dccfe9bdd3b6120,Sam felt that you needed to improve yourself.  She said that you should take the time to collect your thoughts and clear your mind.  Why does she want you to improve yourself?,meditate,celebrate,feel better about yourself,2,improving yourself will help you feel better about yourself.,meditation is the only way to improve yourself.
a87454e96bbbc6fdae727902e4580d55,"If changing society happens, what could be an outcome?",sometimes bad,better standard of living,confusion and chaos,2,"if society changes, there could be confusion and chaos within society as our every day way of living is no longer the same.",change is the only answer that makes sense.
76975c841529a2a32edd5ccce8904fa7,What does a person looking for new things in life do?,become depressed,welcome change,pay bills,1,"something different from before, new experiences and new settings",people looking for new things in life don't usually find new things in life.
aa55b7f6b2b2c627ea7d95b621a0ffbf,"If you want to make a big splash in a river with a rock, from where should you throw it?",ground,mountain range,bridge,2,a bridge is most likely the highest place you could get while being near water.,a river is the only place where you can throw a rock.
ea4612e47e3be9e3e8eb6721804f0577,"The food was packaged for sale, where was it bound?",refrigerators,shop,shelf,1,"the shop is the only choice where things are sold, so it makes sense to have been packaged there as well.",refrigerators are the only place that would be in a store.
f120510db56f949ca231d5376fff9591,What can be the consequence of having many drinks when celebrating?,having sex,getting drunk,drink too much,1,"if someone drinks too much, they are very likely to get drunk.",drinking is the only option that can be the result of having too much drink
155c0ce6a35e192d5a2491611296b6b0,"Humans often have hunting instincts, so what do they do?",excrete,eat meat,play piano,1,"hunting would lead to having meat to eat, but not the other options.",hunting instincts are the only things that can be used to hunt.
59af676a5e79ad28bb77df03ce81c28a_1,Indoor cats versus outdoor tend to what longer?,see king,live many years,meow,1,"is it well known that outdoor cats have to face a lot of dangers, from climate, disease, to predators and cars.  thus it make sense indoor ones are likely to live longer.",cats are the only ones that live long.
cba23819444e00999127d3d2a4b92295,What are blue birds known to do?,lay eggs,sing songs,spread wings,1,blue birds sing songs,the blue birds are known to spread wings
7428b0c780428d64116d060520b9fa0c,"Sure you could get a drink absolutely anywhere, but he found he lost less money if he was just at the bar where?",las vegas,nightclub,new york city,0,"meaning that he would not be gambling if he was at the bar, and las vegas is the place associated with gambling.",las vegas is the only place that would be in a new york city.
a953b0d0c68e15291539de2ae14fb10c,What do walls often make up?,corner,building,house,1,buildings are composed of walls.,walls make up walls
177e38cf52f75852a2f8bfcc2fd52434,Sam tried to reach the button but he was too small. What might he wish himself to be?,adult,big,capital,1,being big is the opposite of being small.,adults are the only ones who can reach the button.
cbe744af729ab1b034170350c9b6645c,"The person used a candle to navigate up the spiral staircase, where were they likely?",light house,emit light,fire hazard,0,lighthouses commonly have spiral staircases and are a place you may need a light source to navigate.,the stairs are the only place that would be used to navigate up the spiral staircase.
927a9559624837ed9547b586936cffe1,"After running twenty six miles he felt like he had lost twenty six pounds, this was from all the what?",drink water,collapse,sweat,2,we lost some money that is really hurts.,the only thing that would make you lose weight is a weight.
